stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url
1017,2033,2nd Ave S and 82nd St,,33.567909999999998,-86.71996,,
1022,2038,85th St S and 2nd Ave S,,33.572690000000001,-86.716859999999997,,
1023,2039,Red Oak Rd and Pkwy East,,33.577330000000003,-86.716170000000005,,
1024,2040,Pkwy East and 89th St N,,33.579479999999997,-86.712010000000006,,
1025,2041,Pkwy East and Roebuck Blvd,,33.581049999999998,-86.710620000000006,,
1026,2042,Parkway East and 4th Ave S,,33.582830000000001,-86.707650000000001,,
1027,2043,Pkwy East and Roebuck Blvd (Post Office),,33.583910000000003,-86.705420000000004,,
1028,2044,Parkway East and Shopping Center Dr,,33.587000000000003,-86.701629999999994,,
1029,2045,RED LANE & SHOPPING CENTER,,33.5899,-86.701499999999996,,
1030,2046,Red Lane Rd and Aaron Dr (Walmart),,33.590910000000001,-86.699799999999996,,
1032,2048,Parkway East and Planet Fitness,,33.585659999999997,-86.702680000000001,,
1033,2049,Parkway East and Roebuck Center,,33.584679999999999,-86.704419999999999,,
1034,2050,Pkwy East and 4th Ave So,,33.582979999999999,-86.707809999999995,,
1035,2051,Parkway East and Roebuck Blvd,,33.581009999999999,-86.711070000000007,,
1036,2052,1st Ave N and 87th St N,,33.576749999999997,-86.71875,,
1037,2053,85th St S and 2nd Ave S (IB),,33.572690000000001,-86.717110000000005,,
1041,2057,2nd Ave S and 82nd St,,33.56812,-86.719989999999996,,
1042,2058,2ND AVE SO & 80TH ST,,33.564480000000003,-86.722319999999996,,
1043,2059,2nd Ave S and 79th St,,33.563220000000001,-86.723190000000002,,
1044,2060,2nd Ave S and 78th St,,33.56174,-86.724099999999993,,
1045,2061,2nd Ave S and Oporto Madrid Blvd (IB),,33.559010000000001,-86.726039999999998,,
1046,2062,2nd Ave S and 76th St,,33.558329999999998,-86.72672,,
1047,2063,2nd Ave S and 73rd St,,33.555,-86.729929999999996,,
1048,2064,2nd Ave S and 71st St,,33.552840000000003,-86.732039999999998,,
1049,2065,2nd Ave S and 70th St,,33.551459999999999,-86.73339,,
1050,2066,2nd Ave S and 68th St,,33.549599999999998,-86.735190000000003,,
1051,2067,68th St S and 1st Ave S (IB),,33.550199999999997,-86.736099999999993,,
1052,2068,68th St S and Division Ave (IB),,33.550870000000003,-86.737170000000006,,
1053,2069,1st Ave N and 65th St N,,33.549080000000004,-86.741550000000004,,
1054,2070,1st Ave N and 60th St N,,33.544550000000001,-86.747299999999996,,
1055,2071,1st Ave N and 59th St N,,33.543489999999998,-86.748639999999995,,
1056,2072,1st Ave N and 57th St N (IB),,33.541719999999998,-86.750919999999994,,
1057,2073,1st Ave N and 55th St,,33.540329999999997,-86.752480000000006,,
1058,2074,1st Ave N and 54th St,,33.539200000000001,-86.753720000000001,,
1059,2075,1st Ave N and 52nd St,,33.536790000000003,-86.758840000000006,,
1060,2076,1st Ave N and 50th St,,33.535739999999997,-86.760999999999996,,
1061,2077,1st Ave N and 48th St,,33.534649999999999,-86.763289999999998,,
1062,2078,1st Ave N and 45th Pl,,33.532769999999999,-86.767229999999998,,
1063,2079,1st Ave N and 44th St,,33.531660000000002,-86.769509999999997,,
1064,2080,1st Ave N and 43rd St,,33.530369999999998,-86.772229999999993,,
1065,2081,1st Ave N and 41st St,,33.528579999999998,-86.776129999999995,,
1066,2082,1st Ave N and 37th St,,33.525669999999998,-86.782250000000005,,
1067,2083,1st Ave N and 34th St,,33.523820000000001,-86.786330000000007,,
1068,2084,20th St S and 3rd Ave S,,33.510179999999998,-86.802909999999997,,
1069,2085,Highland Ave & 20th St So,,33.499609999999997,-86.795069999999996,,
1070,2086,Highland Ave and R Arrington Jr Blvd,,33.499749999999999,-86.793599999999998,,
1071,2087,VESTAVIA CITY CENTER,,33.446910000000003,-86.790880000000001,,
1072,2088,HIGHWAY 31 SO & MCDONALDS,,33.445180000000001,-86.791259999999994,,
1073,2089,Hwy 31 and Vesthaven Rd,,33.437710000000003,-86.788780000000003,,
1074,2090,VESTAVIA-WALMART,,33.428449999999998,-86.790629999999993,,
1075,2091,Hwy 31 and Massey Rd,,33.422429999999999,-86.797730000000001,,
1076,2092,Hwy 31 and Vestavia Pkwy,,33.419429999999998,-86.801060000000007,,
1077,2093,ARBY'S-MCGUIRE,,33.41545,-86.804029999999997,,
1078,2094,Hwy 31 and Southland Drive,,33.40878,-86.806820000000002,,
1079,2095,Hwy 31 and Old Columbiana Rd (Hoover Vil,,33.40466,-86.806359999999998,,
1080,2096,HOOVER COURT,,33.400539999999999,-86.806139999999999,,
1081,2097,Hwy 31 and New Patton Chapel Rd (Hoover,,33.393329999999999,-86.806539999999998,,
1082,2098,GALLERIA,,33.38026,-86.81071,,
1083,2099,Lorna Rd Nearside Data Dr. (Best Buy),,33.378970000000002,-86.800319999999999,,
1084,2100,Lorna Rd and Centennial Drive,,33.382330000000003,-86.795000000000002,,
1085,2101,Lorna Rd and Lornaridge Lane (Jacks),,33.392510000000001,-86.797569999999993,,
1086,2102,LORNA TOWN SQUARE,,33.400199999999998,-86.80341,,
1087,2103,Lorna Rd and Little Valley Rd,,33.40757,-86.805440000000004,,
1088,2104,Hwy 31 and Buena Vista Dr. (Quality Inn),,33.415709999999997,-86.803510000000003,,
1089,2105,OLD TOWNE PLAZA,,33.420290000000001,-86.799660000000003,,
1090,2106,Hwy 31 and Massey Rd (IB),,33.422370000000001,-86.797330000000002,,
1091,2107,Hwy 31 near Neighborhood Walmart,,33.4283,-86.790279999999996,,
1092,2108,Hwy 31 and Old Montgomery Hwy (Sprouts),,33.439100000000003,-86.788780000000003,,
1093,2109,Canyon Rd and Hwy 31,,33.445390000000003,-86.790790000000001,,
1094,2110,Hwy 31 and Kentucky Ave,,33.447389999999999,-86.790229999999994,,
1095,2111,Highland Ave and 21st Pl S,,33.500059999999998,-86.792810000000003,,
1096,2112,Highland and RAJ Blvd,,33.499890000000001,-86.794169999999994,,
1097,2113,20th St S and 3rd Ave S,,33.509880000000003,-86.802490000000006,,
1101,2117,4th Ave N and 13th St N,,33.51276,-86.817099999999996,,
1112,2128,Graymont Ave and 3rd St W,,33.510170000000002,-86.841250000000002,,
1123,2139,Pike Rd and Decatur Ave,,33.513150000000003,-86.869129999999998,,
1155,2171,Pike Rd and Cullman Ave (IB),,33.513039999999997,-86.870559999999998,,
1156,2172,Pike Rd and Decatur Ave (IB),,33.513060000000003,-86.86936,,
1157,2173,Pike Rd and Eufaula Ave,,33.513030000000001,-86.868229999999997,,
1158,2174,Graymont Ave and 1637 address,,33.513019999999997,-86.865409999999997,,
1159,2175,Graymont Ave and 16th St W,,33.513039999999997,-86.863579999999999,,
1162,2178,Graymont Ave and 12th St W,,33.510739999999998,-86.856369999999998,,
1163,2179,Graymont Ave and 11th St W,,33.509860000000003,-86.854609999999994,,
1165,2181,GRAYMONT AND PRINCETON PKWY,,33.509140000000002,-86.849329999999995,,
1166,2182,Graymont Ave and 7th St,,33.509160000000001,-86.847440000000006,,
1167,2183,Graymont Ave and 5th Pl,,33.509439999999998,-86.845079999999996,,
1168,2184,Graymont Ave and 3rd St,,33.509880000000003,-86.84169,,
1169,2185,Graymont Ave and Jasper Rd (Elyton Villa,,33.510390000000001,-86.839929999999995,,
1170,2186,Graymont Ave and Center St (IB),,33.511220000000002,-86.836560000000006,,
1171,2187,Graymont Ave and 1st St N (IB),,33.511209999999998,-86.834779999999995,,
1172,2188,Graymont Ave and 2nd St N,,33.511180000000003,-86.833200000000005,,
1173,2189,Graymont Ave and 4th St N (IB),,33.51117,-86.830079999999995,,
1174,2190,Graymont Ave and 6th St N (IB),,33.511119999999998,-86.826859999999996,,
1175,2191,Graymont Ave and 9th St N (IB),,33.511049999999997,-86.823719999999994,,
1176,2192,5th Ave N and 12th St N,,33.512689999999999,-86.819400000000002,,
1177,2193,5th Ave N and 14th St N,,33.514020000000002,-86.816599999999994,,
1178,2194,5th Ave N and 15th St N,,33.514809999999997,-86.814790000000002,,
1179,2195,18th St S and 27th Ave S,,33.482610000000001,-86.791899999999998,,
1194,2210,WILDWOOD WALMART,,33.447279999999999,-86.821489999999997,,
1196,2212,Lakeshore Pkwy and Wildwood Pkwy,,33.447499999999998,-86.824190000000002,,
1197,2213,Lakeshore Pkwy and Wildwood Cir,,33.444899999999997,-86.828119999999998,,
1198,2214,Lakeshore Pkwy and John Carroll Dr,,33.442729999999997,-86.831429999999997,,
1199,2215,Lakeshore Pkwy and West Oxmoor Rd,,33.439520000000002,-86.843490000000003,,
1201,2217,London Pkwy and Fortis College,,33.442390000000003,-86.862340000000003,,
